[1019/122106.031:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yg/r/KExHX6JzCB4.js (123)
[1019/122106.706:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122106.714:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122225.974:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122225.992:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122225.993:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122236.023:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122236.033:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122236.034:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122242.064:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122242.086:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122242.093:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122253.488:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yg/r/KExHX6JzCB4.js (123)
[1019/122253.866:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122253.874:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122317.215:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122317.221:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122317.227:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122318.201:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122318.211:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122318.217:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122329.196:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122329.213:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122338.223:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122338.228:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122338.232:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122356.379:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122356.391:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122356.397:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122406.490:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122406.504:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122406.589:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122406.593:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122406.595:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122426.891:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122426.904:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122426.904:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122516.692:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122516.710:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122516.710:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122522.729:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122522.741:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122522.749:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1019/122532.769:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
